login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
markbates,markbates/cleo,2021-09-07T20:31:48Z,1,1,Go,False,False,mit
markbates,markbates/clio,2019-11-16T23:49:30Z,1,1,Go,True,True,mit
markbates,markbates/cobble,2010-01-15T16:37:43Z,1,1,Ruby,True,True,mit
markbates,markbates/cobra,2016-12-13T23:26:59Z,1,1,Go,True,True,apache-2.0
markbates,markbates/coffee-rails-source-maps,2013-03-06T23:08:40Z,241,241,Ruby,True,False,mit
markbates,markbates/coffeebeans,2011-05-19T17:28:25Z,228,228,Ruby,True,True,mit
markbates,markbates/coke,2019-11-20T18:55:50Z,2,2,Go,True,True,
markbates,markbates/configatron,2008-06-10T18:28:42Z,598,598,Ruby,True,True,mit
markbates,markbates/content_o_matic,2009-07-20T21:10:29Z,1,1,Ruby,True,True,mit
markbates,markbates/contextual,2021-11-05T22:26:27Z,5,5,Go,True,True,mit
markbates,markbates/control,2019-03-31T20:20:39Z,2,2,Go,True,True,
markbates,markbates/cover_me,2010-08-13T14:45:07Z,203,203,Ruby,True,True,mit
markbates,markbates/deano,2013-01-06T03:16:20Z,3,3,Ruby,True,True,mit
markbates,markbates/delayed_job_extras,2009-08-05T15:31:06Z,17,17,Ruby,True,True,mit
markbates,markbates/deplist,2017-03-06T17:10:40Z,3,3,Go,True,True,mit
markbates,markbates/distribunaut,2009-04-06T01:29:33Z,16,16,Ruby,True,True,mit
markbates,markbates/dj_remixes,2010-06-14T19:34:15Z,42,42,Ruby,True,True,mit
markbates,markbates/ek,2016-11-09T14:56:39Z,1,1,Go,True,True,
markbates,markbates/ekar,2008-08-30T01:20:37Z,2,2,Ruby,True,True,
markbates,markbates/ernie,2019-02-25T16:15:49Z,0,0,Go,True,True,
markbates,markbates/errx,2019-06-24T16:24:56Z,2,2,Makefile,True,True,mit
